N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
18;2422608;AMAZONAS;CREACION DE LA LOZA DE RECREACIÓN MULTIUSOS EN LA LOCALIDAD DE HUAMBO - DISTRITO DE HUAMBO - PROVINCIA DE RODRIGUEZ DE MENDOZA - DEPARTAMENTO DE AMAZONAS;MUNICIPALIDAD DISTRITAL DE HUAMBO;425,070;1,010;14;;;
19;2449098;AMAZONAS;CREACION DE LOSA DE RECREACIÓN MULTIUSOS EN LA LOCALIDAD DE LIMABAMBA DEL DISTRITO DE LIMABAMBA - PROVINCIA DE RODRIGUEZ DE MENDOZA - DEPARTAMENTO DE AMAZONAS;MUNICIPALIDAD DISTRITAL DE LIMABAMBA;542,281;1,221;17;;;
20;2492192;AMAZONAS;"RENOVACION DE PAVIMENTO, PONTON Y OBRAS EXTERIORES; EN EL(LA) SERVICIO DE TRANSITABILIDAD DE VÍAS URBANAS DEL JR. INDEPENDENCIA, JR. LA UNIÓN, JR. FLORIDA Y JR. SAN MARTÍN DE LA LOCALIDAD DE POMACOCHAS, DISTRITO DE FLORIDA, PROVINCIA BONGARA, DEPARTAMENTO AMAZONAS";MUNICIPALIDAD DISTRITAL DE FLORIDA;832,300;468;25;;;
21;2492140;AMAZONAS;"CONSTRUCCION DE PAVIMENTO, SARDINEL, VEREDA Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) EN EL BARRIO DE LUYA EN LA LOCALIDAD LUYA, DISTRITO DE LUYA, PROVINCIA LUYA, DEPARTAMENTO AMAZONAS";MUNICIPALIDAD DISTRITAL DE LUYA;1,741,568;1,320;52;;;
22;2492217;AMAZONAS;"RENOVACION DE PAVIMENTO, VEREDA Y DRENAJE LONGITUDINAL; CONSTRUCCION DE PUENTE PEATONAL; EN EL(LA) JR. BLÁS VALERA CDRAS. 03, 04 Y 05 DEL BARRIO SANTA ANA EN LA LOCALIDAD LAMUD, DISTRITO DE LAMUD, PROVINCIA LUYA, DEPARTAMENTO AMAZONAS";MUNICIPALIDAD PROVINCIAL DE LUYA;1,117,684;485;34;;;
23;2492209;AMAZONAS;"CONSTRUCCION DE PAVIMENTO, SARDINEL, VEREDA Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) BARRIO MATRIZ EN LA LOCALIDAD LAMUD, DISTRITO DE LAMUD, PROVINCIA LUYA, DEPARTAMENTO AMAZONAS";MUNICIPALIDAD PROVINCIAL DE LUYA;1,115,641;485;34;;;
24;2207165;AMAZONAS;CREACION DEL PARQUE PRINCIPAL DEL ANEXO DE DIOSAN DIOSAN - DISTRITO DE GRANADA - PROVINCIA DE CHACHAPOYAS - DEPARTAMENTO DE AMAZONAS;MUNICIPALIDAD DISTRITAL DE GRANADA;267,973;2,229;9;;;
25;2493071;AMAZONAS;"CONSTRUCCION DE PAVIMENTO, VEREDA Y CUNETA; REPARACION DE ALCANTARILLA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR SANTA ROSA EN LA LOCALIDAD LA PECA, DISTRITO DE LA PECA, PROVINCIA BAGUA, DEPARTAMENTO AMAZONAS";MUNICIPALIDAD DISTRITAL DE LA PECA;696,235;80;21;;;
26;2252526;ANCASH;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA COMUNIDAD DE CHUCLLUSH , DISTRITO DE LLUMPA - MARISCAL LUZURIAGA - ANCASH;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,208,248.38;310;35;;;
27;2280492;ANCASH;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE SANEAMIENTO BÁSICO EN EL CENTRO POBLADO DE HUAYPAN Y CASERÍOS DE PACCHA, PUTACA, CUNTARA, ACRAYPAMPA, PALTAC Y PACARI, DISTRITO DE MANCOS - YUNGAY - ANCASH;MUNICIPALIDAD DISTRITAL DE MANCOS;14,406,031.16;2,480;191;;;
28;2290904;ANCASH;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL CASERIO DE ANCORACA, DISTRITO DE MATO - HUAYLAS - ANCASH;MUNICIPALIDAD DISTRITAL DE MATO;2,842,115.78;455;66;;;
29;2334302;ANCASH;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DE LAS LOCALIDADES DE ORATORIA, PAMPAMARCA, CACHUS, PIA CORRAL DEL CASERIO DE PONCOS , DISTRITO DE SHUPLUY, PROVINCIA DE YUNGAY - ANCASH;MUNICIPALIDAD DISTRITAL DE SHUPLUY;7,710,613.51;905;113;;;
30;2287704;ANCASH;INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO DEL CC.PP DE CHINCHOBAMBA, DISTRITO DE SAN JUAN - SIHUAS - ANCASH;MUNICIPALIDAD DISTRITAL DE SAN JUAN;3,382,572.83;718;65;;;
31;2294975;ANCASH;INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO RURAL Y AGUA POTABLE EN LOS CASERIOS DE AYAVIÑA Y HUANZA, DISTRITO DE RAGASH - SIHUAS - ANCASH;MUNICIPALIDAD DISTRITAL DE RAGASH;2,426,546.69;550;71;;;
32;2397326;ANCASH;MEJORAMIENTO Y AMPLIACION DEL  SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN CENTRO POBLADO DE HIJIN - DISTRITO DE RAPAYAN - PROVINCIA DE HUARI - REGIÓN ANCASH;MUNICIPALIDAD DISTRITAL DE RAPAYAN;1,355,409.41;110;38;;;
33;2282548;ANCASH;CREACION DEL SERVICIO DE SANEAMIENTO RURAL EN LAS LOCALIDADES DE HUASCAR, CARAP, CAPAN, CAJAY, CARACHUCO,  SAN JUAN, Y WITCU, DISTRITO DE PAMPAROMAS - HUAYLAS - ANCASH;MUNICIPALIDAD DISTRITAL DE PAMPAROMAS;7,250,731.51;2,095;142;;;
34;2318916;ANCASH;INSTALACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO EN LOS CASERÍOS DE COLCABAMBA, SAN JOSE Y PAROBAMBA CHICO, DISTRITO DE HUAYLLABAMBA - SIHUAS - ANCASH;MUNICIPALIDAD DISTRITAL DE HUAYLLABAMBA;7,298,726.20;1,095;141;;;
35;2275644;ANCASH;MEJORAMIENTO Y AMPLIACION SISTEMA DE AGUA POTABLE Y DESAGÜE CON BIODIGESTOR EN LOS CASERIOS DE CAPACHA, SHONGUARCO, TARABAMBA, HUAYLLAMPO BAJO, PAUCA, DOS DE MAYO, NUEVO PROGRESO, HUARAULLAPAMPA Y CHOQUEBAMBA  DISTRITO DE CASHAPAMPA - PROVINCIA DE SIHUAS - DEPARTAMENTO DE ANCASH;MUNICIPALIDAD DISTRITAL DE CASHAPAMPA;10,141,828.81;1,131;116;;;
36;2342435;ANCASH;CREACION DEL SERVICIO DE SANEAMIENTO RURAL DE LAS LOCALIDADES DE ANCA, CHURAP, CUYHUAN, PACKAR E ICHOCA, DISTRITO DE MARCA - RECUAY - ANCASH;MUNICIPALIDAD DISTRITAL DE MARCA;8,365,746.31;1,172;117;;;
37;2294977;ANCASH;MEJORAMIENTO DEL SERVICIO DE SANEAMIENTO RURAL Y AGUA POTABLE EN LAS LOCALIDADES DE PAICARAN -TUCUSH, DISTRITO DE RAGASH - SIHUAS - ANCASH;MUNICIPALIDAD DISTRITAL DE RAGASH;2,975,622.92;640;70;;;
38;2280959;ANCASH;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DEL CENTRO POBLADO HUACHO, DISTRITO DE QUILLO - YUNGAY - ANCASH;MUNICIPALIDAD DISTRITAL DE QUILLO;4,068,611;1,500;78;;;
39;2331675;ANCASH;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE SANEAMIENTO BASICO DEL CENTRO POBLADO DE OCOCOCHA Y LAS LOCALIDADES DE LA MERCED Y QUINHUAY, DISTRITO DE HUACACHI - HUARI - ANCASH;MUNICIPALIDAD DISTRITAL DE HUACACHI;7,042,408;1,342;121;;;
40;2408895;ANCASH;"RENOVACIÓN DE VIAS URBANAS; EN EL(LA) TRAMO 1-1823 CALLE LIMA DESDE LA AV. REYNA HASTA LA CALLE COLON  DISTRITO DE CASMA, PROVINCIA CASMA, DEPARTAMENTO ANCASH";MUNICIPALIDAD PROVINCIAL DE CASMA;751,783;285;23;;;
41;2408836;ANCASH;"RENOVACIÓN DE VIAS URBANAS; EN EL(LA) TRAMO 1-1786 - AV. GAMARRA DESDE LA AV. LIBERTAD HASTA LA AV. NEPEÑA ,  DISTRITO DE CASMA, PROVINCIA CASMA, DEPARTAMENTO ANCASH";MUNICIPALIDAD PROVINCIAL DE CASMA;678,708;285;20;;;
42;2408839;ANCASH;"RENOVACIÓN DE VIAS URBANAS; EN EL(LA) TRAMO 1-1794 - AV. PERU DESDE LA AV. RESERVORIO HASTA LA AV. CESAR VALLEJO  DISTRITO DE CASMA, PROVINCIA CASMA, DEPARTAMENTO ANCASH";MUNICIPALIDAD PROVINCIAL DE CASMA;626,599;285;19;;;
43;2258909;ANCASH;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD PEATONAL Y VEHICULAR EN LA CALLE PRINCIPAL DEL SECTOR FUNDO ACO, DISTRITO DE SAN MIGUEL DE ACO - CARHUAZ - ANCASH;MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE ACO;2,264,057;2,722;67;;;
44;2492034;ANCASH;"REPARACION DE PISTA Y VEREDA; EN EL(LA) SECTOR COISHCO VIEJO DISTRITO DE COISHCO, PROVINCIA SANTA, DEPARTAMENTO ANCASH";MUNICIPALIDAD DISTRITAL DE COISHCO;879,364;828;26;;;
45;2492038;ANCASH;"REPARACION DE PISTA Y VEREDA; EN EL(LA) JIRÓN FRANCISCO BOLOGNESI DISTRITO DE COISHCO, PROVINCIA SANTA, DEPARTAMENTO ANCASH";MUNICIPALIDAD DISTRITAL DE COISHCO;651,360;720;20;;;
