N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
67;2319393;AREQUIPA;MEJORAMIENTO DEL SERVICIO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LOS 07  ASENTAMIENTOS HUMANOS DEL SECTOR DE UMAPALCA, DISTRITO DE SABANDIA, PROVINCIA DE AREQUIPA - AREQUIPA;MUNICIPALIDAD DISTRITAL DE SABANDIA;7,745,853;4,815;35;;;
68;2186390;AREQUIPA;MEJORAMIENTO, AMPLIACION DEL SISTEMA DE ALCANTARILLADO DE LA LOCALIDAD DE SALAMANCA, DISTRITO DE SALAMANCA - CONDESUYOS - AREQUIPA;MUNICIPALIDAD DISTRITAL DE SALAMANCA;2,803,599;547;56;;;
69;2458027;AREQUIPA;"CONSTRUCCION DE CALZADA DOBLE; EN EL(LA) AVENIDA  SOCABAYA URBANIZACION SAN MARTIN DE SOCABAYA DISTRITO DE SOCABAYA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";MUNICIPALIDAD DISTRITAL DE SOCABAYA;1,334,736;158;40;;;
70;2484127;AREQUIPA;"REPARACION DE CALZADA; EN EL(LA) AVENIDA EJERCITO INTERSECCIÓN CALLE MISTI - CALLE TRONCHADERO EN LA LOCALIDAD YANAHUARA, DISTRITO DE YANAHUARA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";MUNICIPALIDAD DISTRITAL DE YANAHUARA;657,395;292;20;;;
71;2258771;AREQUIPA;MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL EN  LA ASOCIACION DE PEQUEÑOS INDUSTRIALES Y ARTESANOS DE AREQUIPA EN EL DISTRITO DE  YURA, PROVINCIA DE AREQUIPA - AREQUIPA- II ETAPA;MUNICIPALIDAD DISTRITAL DE YURA;13,256,996;7,105;385;;;
72;2492203;AREQUIPA;"REPARACION DE CALZADA, VEREDA, BERMA Y AREA VERDE; EN EL(LA) P.J. ALTO SELVA ALEGRE, ZONA B Y C DISTRITO DE ALTO SELVA ALEGRE, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA ";MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE;950,406;140;29;;;
73;2492148;AREQUIPA;"CONSTRUCCION DE VEREDA, BERMA Y AREA VERDE; EN EL(LA) VIA PRINCIPAL DEL PUEBLO JOVEN ATALAYA DISTRITO DE MARIANO MELGAR, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR;597,352;967;18;;;
74;2492174;AREQUIPA;"REPARACION DE VEREDA, BERMA, CALZADA Y SARDINEL; ADEMÁS DE OTROS ACTIVOS EN EL(LA) LA CALLE ELIAS AGUIRRE (CUADRA 3 Y 4) Y CALLE HUANUCO (CUADRA 1 Y 2) EN EL PUEBLO TRADICIONAL URBANIZACIÓN MARIANO MELGAR, DISTRITO DE MARIANO MELGAR, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA ";MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR;699,589;520;21;;;
75;2491939;AREQUIPA;"REPARACION DE CALZADA, VEREDA, SARDINEL Y AREA VERDE; EN EL(LA) PISTAS Y VEREDAS EN LA LOCALIDAD PUCCHUN, DISTRITO DE MARISCAL CACERES, PROVINCIA CAMANA, DEPARTAMENTO AREQUIPA";MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES;1,013,277;80;31;;;
76;2491709;AREQUIPA;"REPARACION DE CALZADA, VEREDA, BERMA Y RAMPA; ADEMÁS DE OTROS ACTIVOS EN LA URBANIZACION VICTORIA  DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";MUNICIPALIDAD PROVINCIAL DE AREQUIPA;921,354;134;28;;;
77;2491618;AREQUIPA;"REMODELACION DE CALZADA Y VEREDA; CONSTRUCCION DE RAMPA; EN EL(LA) URBANIZACION MARIA ISABEL  DISTRITO DE AREQUIPA, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";MUNICIPALIDAD PROVINCIAL DE AREQUIPA;891,270;168;26;;;
78;2331669;AYACUCHO;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y CREACION DE LA PLANTA DE TRATAMIENTO DE AGUA POTABLE EN PACAYCASA, DISTRITO DE PACAYCASA - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE PACAICASA;11,861,902;3,160;55;;;
79;2331397;AYACUCHO;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN EL SECTOR DE WAYCHAOPAMPA PARTE ALTA Y BARRIO ANDAMARCA DE LA COMUNIDAD CAMPESINA ANDAMARCA, DISTRITO DE AYACUCHO, PROVINCIA DE HUAMANGA - AYACUCHO;MUNICIPALIDAD PROVINCIAL DE HUAMANGA;2,559,546;1,238;27;;;
80;2258410;AYACUCHO;AMPLIACION, MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO DEL CENTRO POBLADO TRANCA CONCEPCION 8 DE DICIEMBRE, DISTRITO DE VINCHOS, PROVINCIA DE HUAMANGA, DEPARTAMENTO DE AYACUCHO;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,736,751.92;314;28;;;
81;2330740;AYACUCHO;CREACION DEL SERVICIO DE AGUA POTABLE Y UNIDADES BASICAS DE SANEAMIENTO EN LA COMUNIDAD DE PALLCCAS, DISTRITO DE CHUNGUI - LA MAR - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CHUNGUI;2,262,063.00;356;64;;;
82;2337075;AYACUCHO;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE ALCANTARILLADO EN LA LOCALIDAD DE  MOYABAMBA-CHINCHIBAMBA, DISTRITO DE CHUNGUI, PROVINCIA DE LA MAR - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CHUNGUI;3,889,747.67;694;100;;;
83;2235389;AYACUCHO;INSTALACION DEL SISTEMA DE ALCANTARILLADO Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE DE LAS COMUNIDADES DE QOYA QOYA, PAQPAPATA, CCOLLCCABAMBA, LARAMPUQUIO, MAUCALLACTA, PUCALOMA Y MARQARI, DISTRITO DE SOCOS - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SOCOS;7,648,699.68;2,525;97;;;
84;2301890;AYACUCHO;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE, INSTALACION DEL SISTEMA DE ALCANTARILLADO Y PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EN LAS LOCALIDADES DE ANCHAC HUASI, MITAPA SAMANAN Y SAN JOSÉ DE MAYOBAMBA, DISTRITO DE VINCHOS - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE VINCHOS;5,716,583.77;1,435;76;;;
85;2376877;AYACUCHO;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO  DE AGUA POTABLE E INSTALACIÓN DE SANEAMIENTO BÁSICO EN LAS COMUNIDADES DE  CHILINGA - AQUILLA - CHACCO DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO;MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL;3,110,000.54;765;71;;;
86;2240899;AYACUCHO;AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LAS COMUNIDADES DE HUALLHUAYOCC  ALTO, UYUVIRCA Y ESPIRITU SANTO, DISTRITO DE  HUANTA, PROVINCIA DE HUANTA - AYACUCHO;MUNICIPALIDAD PROVINCIAL DE HUANTA;8,481,855.26;3,308;167;;;
87;2300757;AYACUCHO;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DE LETRINAS UBS CON ARRASTRE HIDRAULICO EN LAS COMUNIDADES DE PRAMADERA, MUCHCAPATA, SAN FRANCISCO DE ASIS, SANTA ROSA DE HUARACASCCA, DISTRITO DE SAURAMA - VILCAS HUAMAN - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SAURAMA;4,497,557.85;926;89;;;
88;2216309;AYACUCHO;MEJORAMIENTO, AMPLIACION E IMPLEMENTACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO  EN 08 CENTROS POBLADOS, DISTRITO DE LLOCHEGUA - HUANTA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE LLOCHEGUA;13,108,545.54;2,875;262;;;
89;2327008;AYACUCHO;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DEL  SISTEMA  DE AGUA POTABLE Y CREACION DE SANEAMIENTO RURAL  EN LAS COMUNIDADES DE MARAYCERA, PUITOCC, SALLALLI Y QUISHUARCANCHA, DISTRITO DE CHIARA - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CHIARA;8,987,875.47;1,080;125;;;
90;2321900;AYACUCHO;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE E INSTALACIÓN DE UNIDADES BÁSICAS DE SANEAMIENTO EN LAS COMUNIDADES DE CCANOBAMBA, MATARILLA, PAUCARPATA Y QUICHKAPATA, DISTRITO DE ACOS VINCHOS - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOS VINCHOS;4,377,125.00;839;175;;;
91;2252841;AYACUCHO;MEJORAMIENTO AMPLIACIÓN Y REHABILITACIÓN DE LOS SISTEMAS DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN EL CENTRO POBLADO DE HUAYLLAY, DISTRITO DE LURICOCHA - HUANTA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE LURICOCHA;8,127,004.84;1,121;137;;;
92;2201545;AYACUCHO;AMPLIACION Y MEJORAMIENTO DE AGUA POTABLE E INSTALACION DE LETRINAS EN DOCE ANEXOS DEL CENTRO POBLADO DE CHONTACA, DISTRITO DE ACOCRO - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOCRO;11,395,007.15;2,600;120;;;
93;2323204;AYACUCHO;MEJORAMIENTO Y AMPLIACIÓN DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO, RECUPERACIÓN DE TRATAMIENTO DE AGUAS RESIDUALES E INSTALACIÓN DE UNIDADES BÁSICAS DE SANEAMIENTO EN LAS LOCALIDADES DE CARAPO Y SAN MIGUEL DE MANCHIRI, DISTRITO DE CARAPO - HUANCA SANCOS - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CARAPO;4,103,694.05;2,058;62;;;
94;2333244;AYACUCHO;CREACION DEL SISTEMA DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS EN LA LOCALIDAD DE LISAHUACCHI EN EL, DISTRITO DE SAISA - LUCANAS - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SAISA;1,156,466.65;77;45;;;
95;2309963;AYACUCHO;MEJORAMIENTO Y CREACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN LAS COMUNIDADES DE PUMAPUQUIO, PAMPAMARCA BAJA Y CCOCHANI, DISTRITO DE ACOCRO - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOCRO;8,737,497.58;1,390;129;;;
96;2324863;AYACUCHO;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CREACIÓN DEL SISTEMA DE ALCANTARILLADO Y TRATATAMIENTO DE AGUAS RESIDUALES EN LAS LOCALIDADES DE LLAHUECCMARCA, CALLEJON, CALDERA, SAN FRANCISCO DE OCCECHIPA, CUSI VALLE SAN FANCISCO Y SAN PEDRO DE VACAHUASI, DISTRITO DE OCROS - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE OCROS;8,341,840.64;1,019;123;;;
97;2336051;AYACUCHO;CREACION, MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO EN COMUNIDADES DE LARAMATE, SAN JOSE DE MICHCA, CCAYARPACHI, CRUZ CUCHO Y SANTIAGO DE PISCHA, DISTRITO DE SANTIAGO DE PISCHA - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PISCHA;11,355,325.19;1,490;135;;;
98;2314411;AYACUCHO;MEJORAMIENTO Y AMPLIACIÓN DE AGUA Y SANEAMIENTO BÁSICO  EN LAS LOCALIDADES DE  SAYHUAPATA, PATASUYO A,   PATASUYO B, CHIHUAMPAMPA, MITUCCASA Y PARACCAY EN EL, DISTRITO DE QUINUA - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE QUINUA;4,155,265.18;1,632;83;;;
99;2289091;AYACUCHO;CREACION DEL SISTEMA DE ALCANTARILLADO SANITARIO Y TRATAMIENTO DE AGUAS RESIDUALES EN EL CENTRO POBLADO DE MARCCARI, DISTRITO DE SANTILLANA - HUANTA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE SANTILLANA;3,012,508;406;59;;;
100;2309997;AYACUCHO;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO RURAL EN LAS LOCALIDADES DE SAN JOSE LA COLPA, CHUMBES ALTA, IBIAS, PUNKUS Y JACASPAMPA, DISTRITO DE OCROS - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE OCROS;5,039,425;839;92;;;
101;2378967;AYACUCHO;CREACION DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCIÓN DE LETRINAS SANITARIAS UBS EN LA COMUNIDAD DE AYAORCCO - COLCA, DISTRITO DE COLCA - VICTOR FAJARDO - AYACUCHO;MUNICIPALIDAD DISTRITAL DE COLCA;1,969,443;85;57;;;
102;2477367;AYACUCHO;CREACION DEL PARQUE  EN LA LOCALIDAD DE VILLA UNION DEL DISTRITO DE ANCHIHUAY - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE ANCHIHUAY;356,344;1,379;11;;;
103;2308805;AYACUCHO;CREACION DE LOSA DEPORTIVA MULTIUSO EN LA LOCALIDAD DE HUALLA, DISTRITO DE HUAYA - VICTOR FAJARDO - AYACUCHO;MUNICIPALIDAD DISTRITAL DE HUALLA;457,264;1,331;14;;;
104;2457465;AYACUCHO;CREACION DEL PARQUE PRINCIPAL EN EL CENTRO POBLADO DE MARINTARI,  DISTRITO DE SANTA ROSA - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;473,968;911;15;;;
105;2417804;AYACUCHO;CREACION DE LA PLAZA DE ARMAS DE LA LOCALIDAD DE ANDAMARCA - ANDAMARCA - DISTRITO DE CARMEN SALCEDO - PROVINCIA DE LUCANAS - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE CARMEN SALCEDO;566,185;3,427;17;;;
106;2463835;AYACUCHO;CREACION DE LOSA DE RECREACIÓN MULTIUSOS EN LA ASOCIACIÓN DE VIVIENDA VIRGEN INMACULADA CONCEPCIÓN DEL ASENTAMIENTO HUMANO UNION HUICHCCANA DEL DISTRITO DE JESUS NAZARENO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE JESUS NAZARENO;622,704;1,957;19;;;
107;2479386;AYACUCHO;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE URIHUANA DEL  DISTRITO DE MARIA PARADO DE BELLIDO - PROVINCIA DE CANGALLO - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE MARIA PARADO DE BELLIDO;664,028;240;20;;;
108;2455106;AYACUCHO;CREACION DE PARQUE PRINCIPAL EN EL CENTRO POBLADO DE SECCELAMBRAS DEL DISTRITO DE ACOCRO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOCRO;558,573;665;17;;;
109;2461417;AYACUCHO;CREACION DE PISTAS Y VEREDAS EN EL JR. ANDRÉS AVELINO CÁCERES, JR. JUAN VELASCO ALVARADO, AV. EDUCACIÓN, JR. SOL Y JR. AREQUIPA EN LA LOCALIDAD DE YANAYACU DEL DISTRITO DE SOCOS - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE SOCOS;1,494,908;554;44;;;
110;2316576;AYACUCHO;CREACION DE PISTAS Y VEREDAS EN EL CENTRO POBLADO DE URPAY, DISTRITO DE ACOS VINCHOS - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOS VINCHOS;1,868,950;1,260;55;;;
111;2350075;AYACUCHO;CREACION DE PISTAS Y VEREDAS DE LOS JIRONES LOS HEROES CDA 1, 2 Y 3, PASAJE JONAS CDA 1, JIRON MILTON CORDOVA CDA 1 Y 2, JIRON LURICOCHA CDA 1, 2 Y 3, JIRON RAZUHUILLCA CDA 1 Y 2, JIRON INDEPENDENCIA CDA 1, 4 Y 5, JIRON PERU CDA 1, 2, 3 Y 4 EN VIRACOCHAN, DISTRITO DE AYAHUANCO - HUANTA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE AYAHUANCO;3,334,242;987;98;;;
112;2408511;AYACUCHO;CREACION DE PLAZA EN EL CENTRO POBLADO DE PACAPAUSA ALTA - DISTRITO DE PACAPAUSA - PROVINCIA DE PARINACOCHAS - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE PACAPAUSA;219,892;7,342;8;;;
113;2415934;AYACUCHO;CREACION DE LOSA DE RECREACIÓN MULTIUSO EN EL CENTRO POBLADO DE PALMAPAMPA DEL DISTRITO DE SAMUGARI - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE SAMUGARI;585,760;3,279;18;;;
114;2427872;AYACUCHO;CREACION DEL SERVICIO DE PARQUES Y JARDINES DE PATIBAMBA DEL DISTRITO DE SAN MIGUEL - PROVINCIA DE LA MAR - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL;524,288;389;16;;;
115;2451819;AYACUCHO;CREACION DEL PARQUE Y ÁREAS VERDES EN EL CENTRO POBLADO DE JESÚS NAZARENO DE CHONTACA DEL  DISTRITO DE ACOCRO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOCRO;499,540;1,670;15;;;
116;2456282;AYACUCHO;CREACION DEL PARQUE Y ÁREAS VERDES DEL CENTRO POBLADO DE POMA CCOLCCABAMBA DEL DISTRITO DE QUEROBAMBA - PROVINCIA DE SUCRE - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD PROVINCIAL DE SUCRE;1,038,093;470;31;;;
117;2480302;AYACUCHO;CREACION DE LOSA DE RECREACIÓN MULTIUSOS DE LA ZONA I DE LA  LOCALIDAD DE INCUYO DEL DISTRITO DE PUYUSCA - PROVINCIA DE PARINACOCHAS - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE PUYUSCA;686,021;1,111;21;;;
118;2395949;AYACUCHO;CREACION ESPACIOS PÚBLICOS VERDES, ASOCIACION 11 DE ABRIL - DISTRITO DE SAN JUAN BAUTISTA - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA;491,348;795;15;;;
119;2293430;AYACUCHO;CREACION DE LOSA MULTIUSO PP.JJ. VISTA ALEGRE, DISTRITO DE CARMEN ALTO - HUAMANGA - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CARMEN ALTO;486,547;2,028;15;;;
120;2405403;AYACUCHO;CREACION DE PARQUE NUEVA VÍA EN EL ASENTAMIENTO HUMANO DE VISTA ALEGRE EN EL ASENTAMIENTO HUMANO DE VISTA ALEGRE - DISTRITO DE CARMEN ALTO - PROVINCIA DE HUAMANGA - REGIÓN AYACUCHO;MUNICIPALIDAD DISTRITAL DE CARMEN ALTO;480,500;2,028;15;;;
121;2406029;AYACUCHO;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE RECREACION Y ESPARCIMIENTO EN LA LOSA DEPORTIVA DE ANDAMARCA, COMUNIDAD DE ANDAMARCA, DISTRITO DE AYACUCHO - PROVINCIA DE HUAMANGA - REGIÓN AYACUCHO;MUNICIPALIDAD PROVINCIAL DE HUAMANGA;441,502;1,019;14;;;
122;2297043;AYACUCHO;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DEL PARQUE DE LA LOCALIDAD DE CHILCAYOC, DISTRITO DE CHILCAYOC - SUCRE - AYACUCHO;MUNICIPALIDAD DISTRITAL DE CHILCAYOC;919,633;350;28;;;
123;2492103;AYACUCHO;"CONSTRUCCION DE CALZADA, CUNETA, VEREDA Y RAMPA; EN EL(LA) , BARRIO DE LICENCIADOS-POKRAS DISTRITO DE SAN JUAN BAUTISTA, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA;1,266,656;2,500;38;;;
124;2492082;AYACUCHO;"CONSTRUCCION DE CALZADA, CUNETA, SARDINEL Y VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) ADEMAS DE OTROS ACTIVOS EN EL BARRIO MIRAFLORES DISTRITO DE SAN JUAN BAUTISTA, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA;982,567;2,000;29;;;
125;2492184;AYACUCHO;"CONSTRUCCION DE CALZADA, CUNETA, VEREDA Y RAMPA; EN EL(LA) ADEMAS DE OTROS ACTIVOS EN EL BARRIO SAN MELCHOR DISTRITO DE SAN JUAN BAUTISTA, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA;1,129,140;2,500;34;;;
126;2492085;AYACUCHO;"CONSTRUCCION DE VEREDA, CALZADA, RAMPA Y SARDINEL; ADEMÁS DE OTROS ACTIVOS EN EL(LA) LAS CALLES, PASAJE CORDOVA Y PASAJE LARA DEL SECTOR ANANSAYOCC WIRUYPACCHA DEL DISTRITO DE QUINUA, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE QUINUA;539,646;1,330;17;;;
127;2492190;AYACUCHO;"CONSTRUCCION DE CALZADA, VEREDAS, SARDINEL Y AREAS VERDES; ADEMAS DE OTROS ACTIVOS EN EL (LA) CALLES DEL SECTOR CENTRO QUINUA   Y VIA LOS LIBERTADORSE, DISTRITO DE QUINUA-PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE QUINUA;1,308,148;2,070;39;;;
128;2492386;AYACUCHO;CONSTRUCCION DE PISTA, VEREDA, SARDINEL, CUNETA, RAMPA: ADEMÁS DE OTROS ACTIVOS  EN EL(LA) SECTOR NOR OESTE DEL CENTRO POBLADO ACOCRO, DISTRITO DE ACOCRO, PROVINCIA HUAMANGA, DEPARTAMENTO AYACUCHO;MUNICIPALIDAD DISTRITAL DE ACOCRO;574,984;111;17;;;
129;2482145;AYACUCHO;"CONSTRUCCIÓN DE VEREDA, RAMPA, SARDINEL Y CALZADA; ADEMÁS DE OTROS ACTIVOS EN LA AV. TAHUANTINSUYO DEL DISTRITO DE AUCARA, PROVINCIA DE LUCANAS, DEPARTAMENTO DE AYACUCHO.";MUNICIPALIDAD DISTRITAL DE AUCARA;664,641;99;20;;;
130;2493162;AYACUCHO;"REPARACIÓN DE PISTA, VEREDA Y GRADERIAS; EN EL(LA) MUNICIPALIDAD DISTRITAL DE AYAHUANCO LOCALIDAD DE VIRACOCHAN DISTRITO DE AYAHUANCO, PROVINCIA HUANTA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE AYAHUANCO;628,535;239;19;;;
131;2491663;AYACUCHO;"CONSTRUCCION DE CALZADA, VEREDA Y GRADERIAS; REPARACION DE CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR MACHENTE DISTRITO DE AYNA, PROVINCIA LA MAR, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE AYNA;990,793;1,172;29;;;
132;2492120;AYACUCHO;"CONSTRUCCION DE VEREDA, RAMPA, SARDINEL Y CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR ANDRES AVELINO CACERES CUADRA 02, 03 Y 04, JR C MENDOZA CUADRA 02 Y 03, JR R GUTIERREZ CUADRA 02, 03 Y 04, JR 1 CUADRA 02 Y JR ALEJANDRINO VILLANTOY CUADRA 03 EN LA LOCALIDAD MAYAPO, DISTRITO DE LLOCHEGUA, PROVINCIA HUANTA, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE LLOCHEGUA;785,498;172;23;;;
133;2492076;AYACUCHO;" CONSTRUCCION DE CALZADA Y VEREDA; REPARACION DE CALZADA; ADQUISICION DE SEÑALIZACION VERTICAL; EN EL(LA) SECTOR NOR OESTE ""A"" TAMBO, DISTRITO DE TAMBO, PROVINCIA LA MAR, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE TAMBO;1,249,291;560;37;;;
134;2474235;AYACUCHO;MEJORAMIENTO DEL SERVICIO DEL  PARQUE DE VIRACOCHAN DEL DISTRITO DE AYAHUANCO - PROVINCIA DE HUANTA - DEPARTAMENTO DE AYACUCHO;MUNICIPALIDAD DISTRITAL DE AYAHUANCO;1,019,412;1,201;31;;;
135;2278651;AYACUCHO;CONSTRUCCION DE PAVIMENTO RIGIDO Y VEREDAS EN LAS PRINCIPALES CALLES DEL CENTRO POBLADO DE PATIBAMBA, DISTRITO DE SAN MIGUEL, PROVINCIA DE LA MAR - AYACUCHO;MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL;3,369,812;295;99;;;
136;2492177;AYACUCHO;"CONSTRUCCION DE VEREDA, RAMPA, SARDINEL Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. APURIMAC, PROL. JR. SUCRE, JR. BOLOGNESI, JR. UNION, JR. LIBERTAD Y JR. CAPRICHO, DISTRITO DE SANTA ROSA, PROVINCIA LA MAR, DEPARTAMENTO AYACUCHO";MUNICIPALIDAD DISTRITAL DE SANTA ROSA;853,854;88;26;;;
137;2411302;CAJAMARCA;INSTALACION DEL SERVICIO DE ALCANTARILLADO SANITARIO EN LA LOTIZACION CAJAMARCA 2010 - SECTOR 24 LA VILLA DE HUACARIZ, PROVINCIA DE CAJAMARCA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;934,514;566;18;;;
138;2194529;CAJAMARCA;INSTALACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO AGOMARCA ALTO, DISTRITO DE BAMBAMARCA, PROVINCIA DE HUALGAYOC - CAJAMARCA;REGION CAJAMARCA-CHOTA;5,906,463;2,319;33;;;
139;2292939;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE MEDIANTE LA INSTALACIÓN DE MICROMEDIDORES ,DISTRITO DE SANTA CRUZ, PROVINCIA DE SANTA CRUZ - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE SANTA CRUZ;939,900;2,059;18;;;
